```csv
temperatura,umidade,luminosidade,classe
24,65,850,seguro
25,60,820,seguro
22,70,900,seguro
28,55,780,seguro
26,58,760,seguro
23,67,810,seguro
27,62,790,seguro
21,72,950,seguro
29,50,700,seguro
24,64,870,seguro
25,61,830,seguro
26,59,845,seguro
22,68,910,seguro
30,52,720,seguro
23,66,800,seguro
31,38,480,alerta
33,35,450,alerta
17,45,490,alerta
16,50,470,alerta
34,39,430,alerta
32,41,520,alerta
15,42,510,alerta
18,38,495,alerta
35,36,410,alerta
14,48,450,alerta
30,40,500,alerta
29,39,530,alerta
19,37,470,alerta
36,35,420,alerta
17,43,460,alerta
42,15,150,critico
45,10,120,critico
5,18,180,critico
48,12,90,critico
41,19,200,critico
44,8,110,critico
3,15,170,critico
46,14,130,critico
40,20,190,critico
50,5,80,critico
47,9,100,critico
43,11,140,critico
4,17,160,critico
49,6,70,critico
45,13,125,critico
```
